job_id,n,q,lattice_t,beta,seed,regime,plateau_length,terminal_status,rank_complete,levels_measured,max_reached_k,predicted_bottleneck_k,predicted_bottleneck_passed,measured_peak_count,measured_peak_levels,nearest_measured_peak_k,peak_offset,absolute_peak_gap,exact_peak_match,mean_log_ratio,sd_log_ratio,minimum_log_ratio,maximum_log_ratio,terminal_detail
n=40:q=11:t=20:beta=14:seed=0,40,11,20,14,0,no_plateau,0,ok,True,40,40,18,True,124257,[18],18,0,0,True,0.05952745185584159,0.2662336339622797,-0.13396736262887754,1.6094379124341074,
n=40:q=11:t=20:beta=14:seed=1,40,11,20,14,1,no_plateau,0,ok,True,40,40,18,True,160509,[18],18,0,0,True,0.06597615327748345,0.2189810125849007,-0.06921075667244914,1.0986122886681169,
n=40:q=11:t=20:beta=14:seed=2,40,11,20,14,2,no_plateau,0,ok,True,40,40,18,True,169331,[18],18,0,0,True,-0.06392906352197932,0.22462076090937078,-1.0099577006127447,0.13740350329747564,
n=40:q=11:t=20:beta=2:seed=0,40,11,20,2,0,no_plateau,0,ok,True,40,40,19,True,434849,[19],19,0,0,True,0.10708836016422103,0.3420822248230658,-0.16254656954885172,1.6094379124341074,
n=40:q=11:t=20:beta=2:seed=1,40,11,20,2,1,no_plateau,0,ok,True,40,40,18,True,2598945,[18],18,0,0,True,0.06538962824174648,0.2680974411336925,-0.08758072020014573,1.3054960737893002,
n=40:q=11:t=20:beta=2:seed=2,40,11,20,2,2,no_plateau,0,ok,True,40,40,19,True,1480221,[19],19,0,0,True,-0.005635744634767059,0.044785198844059126,-0.17624605664290915,0.12126954200419826,
n=40:q=11:t=20:beta=7:seed=0,40,11,20,7,0,no_plateau,0,ok,True,40,40,17,True,239081,[17],17,0,0,True,0.11255762910457585,0.38257150406193874,-0.16254656954885172,1.6094379124341074,
n=40:q=11:t=20:beta=7:seed=1,40,11,20,7,1,no_plateau,0,ok,True,40,40,18,True,208125,[18],18,0,0,True,0.06721846659165405,0.2373445020206502,-0.07326930458097891,1.0986122886681169,
n=40:q=11:t=20:beta=7:seed=2,40,11,20,7,2,no_plateau,0,ok,True,40,40,17,True,188619,[17],17,0,0,True,-0.06610252402483488,0.21740514085291796,-1.0099577006127447,0.10213153696270183,
n=40:q=11:t=30:beta=14:seed=0,40,11,30,14,0,no_plateau,0,ok,True,40,40,18,True,172809,[18],18,0,0,True,0.015494278041365906,0.07024244905069821,-0.12155346501741238,0.3369627942756259,
n=40:q=11:t=30:beta=14:seed=1,40,11,30,14,1,no_plateau,0,ok,True,40,40,18,True,126697,[18],18,0,0,True,0.03467718266706474,0.21331603222350726,-0.20175791067807536,1.0986122886681098,
n=40:q=11:t=30:beta=14:seed=2,40,11,30,14,2,no_plateau,0,ok,True,40,40,18,True,169763,[18],18,0,0,True,0.11536415449689903,0.3595347990645033,-0.06887320718849921,1.9459101490553132,
n=40:q=11:t=30:beta=2:seed=0,40,11,30,2,0,transition,4,ok,True,40,40,18,True,893991,[18],18,0,0,True,-0.008478796877530947,0.1926718169350344,-1.0451988929034286,0.39576353981519174,
n=40:q=11:t=30:beta=2:seed=1,40,11,30,2,1,transition,4,ok,True,40,40,18,True,440289,[18],18,0,0,True,0.048740243466225505,0.19641464971149133,-0.12801291182391106,1.0986122886681098,
n=40:q=11:t=30:beta=2:seed=2,40,11,30,2,2,long_plateau,6,ok,True,40,40,19,True,705595,[19],19,0,0,True,0.10229086671933792,0.3609914222615571,-0.05429260036121342,1.9459101490553132,
n=40:q=11:t=30:beta=7:seed=0,40,11,30,7,0,transition,1,ok,True,40,40,19,True,204845,[19],19,0,0,True,-0.03011277959770604,0.18118626908040766,-1.015402844302315,0.332540834687316,
n=40:q=11:t=30:beta=7:seed=1,40,11,30,7,1,no_plateau,0,ok,True,40,40,18,True,182663,[18],18,0,0,True,0.03969172801239567,0.20995072216352695,-0.3035199610103121,1.0986122886681098,
n=40:q=11:t=30:beta=7:seed=2,40,11,30,7,2,transition,3,ok,True,40,40,18,True,162861,[18],18,0,0,True,0.11533675681660993,0.360046425836313,-0.08273105281336468,1.9459101490553132,
n=40:q=347:t=20:beta=14:seed=0,40,347,20,14,0,no_plateau,0,ok,True,40,40,18,True,153327,[18],18,0,0,True,-0.1104373792018896,0.35505008119681347,-1.8900392120650764,0.07427048775168998,
n=40:q=347:t=20:beta=14:seed=1,40,347,20,14,1,no_plateau,0,ok,True,40,40,17,True,150695,[17],17,0,0,True,-0.05263887827020135,0.2900431898808236,-0.9087457301986177,1.0986122886681098,
n=40:q=347:t=20:beta=14:seed=2,40,347,20,14,2,no_plateau,0,ok,True,40,40,18,True,191281,[18],18,0,0,True,0.005321185310489496,0.1257244461311779,-0.3151008139217053,0.5918676662372035,
n=40:q=347:t=20:beta=2:seed=0,40,347,20,2,0,no_plateau,0,ok,True,40,40,18,True,2529953,[18],18,0,0,True,0.008085922382441596,0.10631654543161893,-0.44796343461706045,0.44630782460607743,
n=40:q=347:t=20:beta=2:seed=1,40,347,20,2,1,no_plateau,0,ok,True,40,40,17,True,793741,[17],17,0,0,True,0.03046390933755268,0.19650532990528236,-0.13696732937561973,1.0986122886681098,
n=40:q=347:t=20:beta=2:seed=2,40,347,20,2,2,no_plateau,0,ok,True,40,40,18,True,1320111,[18],18,0,0,True,0.02547123574703728,0.08450645741147642,-0.029168433495823987,0.5128013854674469,
n=40:q=347:t=20:beta=7:seed=0,40,347,20,7,0,no_plateau,0,ok,True,40,40,18,True,293201,[18],18,0,0,True,-0.01612091093938319,0.08301822250736851,-0.281550010673854,0.24518376591367286,
n=40:q=347:t=20:beta=7:seed=1,40,347,20,7,1,no_plateau,0,ok,True,40,40,18,True,323947,[18],18,0,0,True,0.05485082815675355,0.23643710957639524,-0.13696732937561973,1.0986122886681098,
n=40:q=347:t=20:beta=7:seed=2,40,347,20,7,2,no_plateau,0,ok,True,40,40,19,True,197487,[19],19,0,0,True,0.01940229517467936,0.11487696852102715,-0.1204797309678447,0.5918676662372035,
n=40:q=347:t=30:beta=14:seed=0,40,347,30,14,0,no_plateau,0,ok,True,40,40,18,True,133555,[18],18,0,0,True,-0.030430581170097927,0.15778692811748013,-0.9452785340450021,0.1020113987003688,
n=40:q=347:t=30:beta=14:seed=1,40,347,30,14,1,no_plateau,0,ok,True,40,40,18,True,138913,[18],18,0,0,True,-0.0093130628712574,0.2339297734545978,-0.7642071552940399,1.0986122886681098,
n=40:q=347:t=30:beta=14:seed=2,40,347,30,14,2,no_plateau,0,ok,True,40,40,17,True,163861,[17],17,0,0,True,-0.007587850807846214,0.18234554091890337,-1.009048231520353,0.44889207041018686,
n=40:q=347:t=30:beta=2:seed=0,40,347,30,2,0,no_plateau,0,ok,True,40,40,18,True,1648665,[18],18,0,0,True,0.01640054963249059,0.060953037759643905,-0.04452314508898958,0.33770722251754437,
n=40:q=347:t=30:beta=2:seed=1,40,347,30,2,1,no_plateau,0,ok,True,40,40,19,True,2893299,[19],19,0,0,True,0.0314664843288278,0.17974339707824563,-0.040683169523198615,1.0986122886681098,
n=40:q=347:t=30:beta=2:seed=2,40,347,30,2,2,no_plateau,0,ok,True,40,40,18,True,2338287,[18],18,0,0,True,-0.022417125923638266,0.12747955374850733,-0.6096054299536813,0.13424132387473198,
n=40:q=347:t=30:beta=7:seed=0,40,347,30,7,0,no_plateau,0,ok,True,40,40,18,True,220819,[18],18,0,0,True,-0.02197222485275483,0.19857461727035453,-1.0631055213405602,0.24032022942870768,
n=40:q=347:t=30:beta=7:seed=1,40,347,30,7,1,no_plateau,0,ok,True,40,40,18,True,188915,[18],18,0,0,True,0.03485092027346491,0.18343807822256622,-0.3064310232947094,1.0986122886681098,
n=40:q=347:t=30:beta=7:seed=2,40,347,30,7,2,no_plateau,0,ok,True,40,40,18,True,213735,[18],18,0,0,True,-0.046116146637971187,0.16868462214290697,-1.009048231520353,0.02603901335898051,
n=40:q=43:t=20:beta=14:seed=0,40,43,20,14,0,no_plateau,0,ok,True,40,40,17,True,171775,[17],17,0,0,True,0.022666624917687367,0.22517749597681852,-0.34536476880965417,1.0986122886681098,
n=40:q=43:t=20:beta=14:seed=1,40,43,20,14,1,no_plateau,0,ok,True,40,40,17,True,163987,[17],17,0,0,True,-0.036824445876363555,0.1832720756650219,-1.0214524597250971,0.13620316477936623,
n=40:q=43:t=20:beta=14:seed=2,40,43,20,14,2,no_plateau,0,ok,True,40,40,18,True,126999,[18],18,0,0,True,-0.07420098767232773,0.221815349996391,-1.0102995809679527,0.025755904174730837,
n=40:q=43:t=20:beta=2:seed=0,40,43,20,2,0,no_plateau,0,ok,True,40,40,18,True,2248103,[18],18,0,0,True,0.06797858013244672,0.2328106884545278,-0.1019026774338112,1.0986122886681098,
n=40:q=43:t=20:beta=2:seed=1,40,43,20,2,1,no_plateau,0,ok,True,40,40,19,True,475445,[19],19,0,0,True,-0.08293647354831483,0.37932186763197434,-2.099901530789083,0.15835464093439544,
n=40:q=43:t=20:beta=2:seed=2,40,43,20,2,2,no_plateau,0,ok,True,40,40,18,True,1642877,[18],18,0,0,True,0.005750500287675864,0.04797076083815841,-0.07363326886536736,0.2293319508010616,
n=40:q=43:t=20:beta=7:seed=0,40,43,20,7,0,no_plateau,0,ok,True,40,40,18,True,189103,[18],18,0,0,True,-0.006900845152419394,0.2247708575573449,-0.7218883748044314,1.0986122886681098,
n=40:q=43:t=20:beta=7:seed=1,40,43,20,7,1,no_plateau,0,ok,True,40,40,18,True,236289,[18],18,0,0,True,-0.058509433709505454,0.20237024161165182,-1.0359462281617198,0.14873142086595426,
n=40:q=43:t=20:beta=7:seed=2,40,43,20,7,2,no_plateau,0,ok,True,40,40,18,True,171497,[18],18,0,0,True,0.006525735933174248,0.06060446308885602,-0.11122822210249672,0.20468398742403826,
n=40:q=43:t=30:beta=14:seed=0,40,43,30,14,0,no_plateau,0,ok,True,40,40,19,True,138833,[19],19,0,0,True,0.008136909035913142,0.09774358825177364,-0.2817737567800047,0.4566601518402873,
n=40:q=43:t=30:beta=14:seed=1,40,43,30,14,1,no_plateau,0,ok,True,40,40,18,True,131459,[18],18,0,0,True,-0.0646345735762935,0.20632259246692256,-0.9627365987511212,0.06767235821229445,
n=40:q=43:t=30:beta=14:seed=2,40,43,30,14,2,no_plateau,0,ok,True,40,40,18,True,141719,[18],18,0,0,True,0.025655187428197612,0.21041304088589155,-0.23756389193733796,1.0986122886681098,
