n,q,t,beta,seed,model,alpha,plateau,fitted_plateau,fitted_slope_len,delta,true_k,model_k,true_cost,model_cost,cost_error,bound_holds,true_d,model_d,seconds
320,13,240,40,2,GSA,0.7499999999999991,180,-1,-1,41.57256253517676,103,149,193.9248725844737,177.6282825898621,16.296589994611594,True,59,30,97.947
320,13,240,40,2,TGSA,0.7499999999999991,180,-1,-1,218.739296165597,103,156,193.9248725844737,366.15556482621616,172.23069224174247,True,59,11,97.947
320,13,240,40,2,ZGSA,0.7499999999999991,180,195,90,13.206448577263508,103,105,193.9248725844737,188.65566411256646,5.269208471907234,True,59,59,97.947
320,13,240,40,4,GSA,0.7499999999998811,181,-1,-1,41.55468284795669,101,149,194.1032686230182,177.6067034818164,16.496565141201813,True,59,30,106.958
320,13,240,40,4,TGSA,0.7499999999998811,181,-1,-1,218.73929616555682,101,156,194.1032686230182,366.1555648262156,172.0522962031974,True,59,11,106.958
320,13,240,40,4,ZGSA,0.7499999999998811,181,196,88,13.055817608870477,101,105,194.1032686230182,189.09981118751494,5.003457435503265,True,59,59,106.958
320,13,160,40,9,GSA,0.5000000050946507,50,-1,-1,44.83019928560276,140,152,303.3284555134835,261.22658783773613,42.10186767574737,True,32,17,113.684
320,13,160,40,9,TGSA,0.5000000050946507,50,-1,-1,104.52894355008145,140,156,303.3284555134835,366.1555648262133,62.82710931272982,True,32,11,113.684
320,13,160,40,9,ZGSA,0.5000000050946507,50,99,123,90.33484422081546,140,154,303.3284555134835,220.27424507432147,83.05421043916203,True,32,32,113.684
320,13,160,40,4,GSA,0.5000000012356369,53,-1,-1,45.8225324168088,143,152,303.69138495511874,260.4790709352472,43.21231401987154,True,32,17,114.017
320,13,160,40,4,TGSA,0.5000000012356369,53,-1,-1,107.33497252309346,143,156,303.69138495511874,366.15556482621525,62.46417987109652,True,32,11,114.017
320,13,160,40,4,ZGSA,0.5000000012356369,53,101,119,91.09353135594725,143,154,303.69138495511874,221.54419155455398,82.14719340056476,True,32,32,114.017
320,13,160,40,5,GSA,0.49999999943312046,50,-1,-1,43.83426535634541,146,152,301.88925928496224,259.3427248542974,42.54653443066485,True,32,18,115.539
320,13,160,40,5,TGSA,0.49999999943312046,50,-1,-1,104.47922309000379,146,156,301.88925928496224,366.1555648262146,64.26630554125234,True,32,11,115.539
320,13,160,40,5,ZGSA,0.49999999943312046,50,101,118,85.93454834790558,146,154,301.88925928496224,221.29763167916377,80.59162760579846,True,32,32,115.539
320,13,240,40,7,GSA,0.7500000000000095,185,-1,-1,40.714542600390615,101,149,191.61457124186785,176.59273287900453,15.02183836286332,True,59,30,118.306
320,13,240,40,7,TGSA,0.7500000000000095,185,-1,-1,218.73929616559928,101,156,191.61457124186785,366.1555648262139,174.54099358434604,True,59,11,118.306
320,13,240,40,7,ZGSA,0.7500000000000095,185,195,91,12.416922222531973,101,105,191.61457124186785,188.68425886570964,2.930312376158213,True,59,59,118.306
320,13,160,40,1,GSA,0.5000000010561682,49,-1,-1,45.16927954522558,143,152,305.2251439925048,262.5235411663907,42.70160282611408,True,32,17,119.809
320,13,160,40,1,TGSA,0.5000000010561682,49,-1,-1,104.05670847847017,143,156,305.2251439925048,366.1555648262139,60.93042083370909,True,32,11,119.809
320,13,160,40,1,ZGSA,0.5000000010561682,49,100,121,91.40714626808881,143,154,305.2251439925048,220.9093225616134,84.31582143089139,True,32,32,119.809
320,13,240,40,3,GSA,0.7499999999999807,187,-1,-1,40.656158125681706,103,149,191.3890058837788,176.52226828692034,14.866737596858457,True,59,30,122.123
320,13,240,40,3,TGSA,0.7499999999999807,187,-1,-1,218.73929616558945,103,156,191.3890058837788,366.15556482621344,174.76655894243464,True,59,11,122.123
320,13,240,40,3,ZGSA,0.7499999999999807,187,194,92,12.418242062700699,103,106,191.3890058837788,188.20461055231019,3.1843953314686075,True,59,59,122.123
