n,q,t,beta,seed,n_q,n_GSA,n_1,delta_rate,H
320,13,240,40,2,195,90,35,0.028322,0.015931
320,13,240,40,4,196,88,36,0.028966,0.015931
320,13,160,40,9,99,123,98,0.020853,0.000000
320,13,160,40,4,101,119,100,0.021554,0.000000
320,13,160,40,5,101,118,101,0.021669,0.007990
320,13,240,40,7,195,91,34,0.028186,0.000000
320,13,160,40,1,100,121,99,0.021198,0.000000
320,13,240,40,3,194,92,34,0.027707,0.015931
320,13,240,40,9,195,90,35,0.028322,0.015931
320,13,240,40,6,195,90,35,0.028322,0.015931
320,13,240,40,8,196,89,35,0.028820,0.000000
320,13,240,40,5,196,89,35,0.028820,0.000000
320,13,240,40,0,216,48,56,0.053105,0.015931
320,13,240,40,1,199,83,38,0.030903,0.000000
320,13,160,40,8,97,126,97,0.020293,0.007990
320,13,160,40,7,96,128,96,0.019976,0.007990
320,13,160,40,3,99,123,98,0.020853,0.000000
320,13,160,40,2,101,118,101,0.021669,0.007990
320,13,160,40,0,100,120,100,0.021308,0.007990
320,13,160,40,6,101,118,101,0.021669,0.007990
320,31,160,40,2,94,133,93,0.025819,0.000001
320,31,160,40,3,94,133,93,0.025819,0.000000
320,31,160,40,1,137,47,136,0.073064,0.000000
320,31,160,40,0,96,129,95,0.026620,0.000000
320,31,240,40,0,178,124,18,0.027521,0.021329
320,31,240,40,4,184,113,23,0.030389,0.000000
320,31,240,40,5,182,116,22,0.029419,0.021329
320,31,240,40,8,178,125,17,0.027472,0.000000
320,31,240,40,3,179,122,19,0.027973,0.021329
320,31,240,40,2,177,126,17,0.027085,0.021329
320,31,160,40,8,107,106,107,0.032295,0.010697
320,31,240,40,1,178,125,17,0.027472,0.000000
320,31,240,40,6,182,116,22,0.029419,0.021329
320,31,240,40,7,179,122,19,0.027973,0.021329
320,31,240,40,9,180,120,20,0.028439,0.021329
320,31,160,40,7,103,114,103,0.030029,0.010698
320,31,160,40,4,95,131,94,0.026214,0.000001
320,31,160,40,5,110,101,109,0.034000,0.000000
320,31,160,40,9,153,15,152,0.228932,0.000000
320,31,160,40,6,99,122,99,0.028060,0.010698
320,127,240,40,0,155,165,0,0.028298,0.175091
320,127,240,40,1,155,159,6,0.028341,0.337967
320,127,160,40,1,97,127,96,0.038143,0.000018
320,127,160,40,2,112,96,112,0.050303,0.015086
320,127,160,40,5,114,93,113,0.052088,0.000046
320,127,240,40,5,154,163,3,0.027971,0.284952
320,127,240,40,7,155,158,7,0.028356,0.364014
320,127,240,40,2,155,161,4,0.028318,0.284952
320,127,240,40,3,155,159,6,0.028341,0.337967
320,127,240,40,6,154,166,0,0.027959,0.203050
320,127,240,40,4,155,160,5,0.028329,0.311614
320,127,160,40,3,107,106,107,0.045559,0.014915
320,127,240,40,9,154,166,0,0.027959,0.203050
320,127,160,40,4,158,4,158,1.207289,0.015033
320,127,240,40,8,155,160,5,0.028329,0.311614
320,127,160,40,8,84,153,83,0.031661,0.000040
320,127,160,40,7,78,165,77,0.029358,0.000149
256,13,128,40,0,86,84,86,0.030416,0.009980
256,13,128,40,6,73,110,73,0.023227,0.009980
256,13,128,40,3,88,81,87,0.031666,0.000000
256,13,128,40,2,103,51,102,0.050293,0.000000
256,13,192,40,0,153,78,25,0.032629,0.019883
256,13,128,40,1,87,83,86,0.030903,0.000000
256,13,128,40,4,73,111,72,0.023108,0.000000
256,13,192,40,1,150,84,22,0.030298,0.019883
256,13,128,40,9,96,65,95,0.039461,0.000000
320,1031,240,40,2,126,184,10,0.029431,1.523038
256,13,128,40,5,97,63,96,0.040713,0.000000
256,13,192,40,2,153,79,24,0.032468,0.000000
256,13,128,40,7,97,62,97,0.041209,0.009980
256,13,192,40,3,152,81,23,0.031666,0.000000
256,13,128,40,8,91,74,91,0.034527,0.009980
320,1031,240,40,5,126,186,8,0.029401,1.469686
256,13,192,40,5,152,81,23,0.031666,0.000000
320,1031,240,40,1,126,188,6,0.029378,1.415272
256,13,192,40,7,150,84,22,0.030298,0.019883
256,13,192,40,4,151,82,23,0.031037,0.019883
256,13,192,40,6,150,84,22,0.030298,0.019883
256,13,192,40,9,149,87,20,0.029482,0.000000
320,1031,240,40,4,125,195,0,0.029046,1.274379
256,13,192,40,8,151,82,23,0.031037,0.019883
320,1031,240,40,0,126,185,9,0.029415,1.496493
320,1031,240,40,3,126,183,11,0.029448,1.549326
320,1031,240,40,7,127,180,13,0.029794,1.575359
320,1031,240,40,6,127,182,11,0.029754,1.523038
320,1031,240,40,8,126,185,9,0.029415,1.496493
320,1031,240,40,9,126,182,12,0.029467,1.575359
256,31,192,40,1,129,126,1,0.027043,0.026620
256,31,192,40,4,130,124,2,0.027479,0.026620
256,31,192,40,5,130,124,2,0.027479,0.026620
256,31,192,40,8,129,126,1,0.027043,0.026620
